payment_id,application_id,payment_number,due_date,payment_date,amount_due,amount_paid,payment_status,payment_completeness
PAY000001,CUST00000,1,2024-07-28,2024-07-30,2212.44,2222.44,Late,Complete
PAY000002,CUST00000,2,2024-08-28,2024-08-31,2212.44,2236.82,Late,Complete
PAY000003,CUST00000,3,2024-09-28,2024-09-27,2212.44,2265.39,On Time,Complete
PAY000004,CUST00000,4,2024-10-28,2024-10-30,2212.44,2115.24,Late,Partial
PAY000005,CUST00000,5,2024-11-28,2024-11-26,2212.44,2207.67,On Time,Partial
PAY000006,CUST00000,6,2024-12-28,2024-12-29,2212.44,2256.62,Late,Complete
PAY000007,CUST00000,7,2025-01-28,2025-01-27,2212.44,2192.52,On Time,Partial
PAY000008,CUST00000,8,2025-02-28,2025-02-27,2212.44,2255.6,On Time,Complete
PAY000009,CUST00000,9,2025-03-28,2025-03-29,2212.44,2224.57,Late,Complete
PAY000010,CUST00000,10,2025-04-28,2025-04-26,2212.44,2263.66,On Time,Complete
PAY000011,CUST00000,11,2025-05-28,2025-05-28,2212.44,2297.38,On Time,Complete
PAY000012,CUST00000,12,2025-06-28,2025-06-27,2212.44,2276.46,On Time,Complete
PAY000013,CUST00000,13,2025-07-28,2025-07-26,2212.44,2189.04,On Time,Partial
PAY000014,CUST00000,14,2025-08-28,2025-08-26,2212.44,2242.07,On Time,Complete
PAY000015,CUST00000,15,2025-09-28,2025-10-01,2212.44,2307.73,Late,Complete
PAY000016,CUST00000,16,2025-10-28,2025-10-26,2212.44,2210.89,On Time,Partial
PAY000017,CUST00000,17,2025-11-28,2025-12-02,2212.44,2289.89,Late,Complete
PAY000018,CUST00000,18,2025-12-28,2025-12-26,2212.44,2167.15,On Time,Partial
PAY000019,CUST00000,19,2026-01-28,2026-01-30,2212.44,2216.57,Late,Complete
PAY000020,CUST00000,20,2026-02-28,2026-03-02,2212.44,2130.76,Late,Partial
PAY000021,CUST00000,21,2026-03-28,2026-03-31,2212.44,2321.62,Late,Complete
PAY000022,CUST00000,22,2026-04-28,2026-04-30,2212.44,2210.36,Late,Partial
PAY000023,CUST00000,23,2026-05-28,2026-05-29,2212.44,2277.17,Late,Complete
PAY000024,CUST00000,24,2026-06-28,2026-06-30,2212.44,2147.61,Late,Partial
PAY000025,CUST00001,1,2023-07-12,2023-07-12,509.65,512.0,On Time,Complete
PAY000026,CUST00001,2,2023-08-12,2023-08-16,509.65,518.63,Late,Complete
PAY000027,CUST00001,3,2023-09-12,2023-09-16,509.65,504.22,Late,Partial
PAY000028,CUST00001,4,2023-10-12,2023-10-16,509.65,507.14,Late,Partial
PAY000029,CUST00001,5,2023-11-12,2023-11-14,509.65,496.99,Late,Partial
PAY000030,CUST00001,6,2023-12-12,2023-12-11,509.65,486.26,On Time,Partial
PAY000031,CUST00001,7,2024-01-12,2024-01-15,509.65,533.1,Late,Complete
PAY000032,CUST00001,8,2024-02-12,2024-02-10,509.65,520.08,On Time,Complete
PAY000033,CUST00001,9,2024-03-12,2024-03-11,509.65,512.38,On Time,Complete
PAY000034,CUST00001,10,2024-04-12,2024-04-12,509.65,521.35,On Time,Complete
PAY000035,CUST00001,11,2024-05-12,2024-05-16,509.65,486.24,Late,Partial
PAY000036,CUST00001,12,2024-06-12,2024-06-12,509.65,524.12,On Time,Complete
PAY000037,CUST00001,13,2024-07-12,2024-07-11,509.65,530.28,On Time,Complete
PAY000038,CUST00001,14,2024-08-12,2024-08-13,509.65,486.88,Late,Partial
PAY000039,CUST00001,15,2024-09-12,2024-09-10,509.65,489.72,On Time,Partial
PAY000040,CUST00001,16,2024-10-12,2024-10-12,509.65,488.17,On Time,Partial
PAY000041,CUST00001,17,2024-11-12,2024-11-11,509.65,485.58,On Time,Partial
PAY000042,CUST00001,18,2024-12-12,2024-12-11,509.65,521.27,On Time,Complete
PAY000043,CUST00001,19,2025-01-12,2025-01-10,509.65,521.42,On Time,Complete
PAY000044,CUST00001,20,2025-02-12,2025-02-11,509.65,502.97,On Time,Partial
PAY000045,CUST00001,21,2025-03-12,2025-03-10,509.65,527.65,On Time,Complete
PAY000046,CUST00001,22,2025-04-12,2025-04-16,509.65,500.53,Late,Partial
PAY000047,CUST00001,23,2025-05-12,2025-05-14,509.65,528.39,Late,Complete
PAY000048,CUST00001,24,2025-06-12,2025-06-16,509.65,512.66,Late,Complete
PAY000049,CUST00001,25,2025-07-12,2025-07-12,509.65,532.44,On Time,Complete
PAY000050,CUST00001,26,2025-08-12,2025-08-14,509.65,496.94,Late,Partial
PAY000051,CUST00001,27,2025-09-12,2025-09-13,509.65,495.85,Late,Partial
PAY000052,CUST00001,28,2025-10-12,2025-10-10,509.65,514.49,On Time,Complete
PAY000053,CUST00001,29,2025-11-12,2025-11-10,509.65,520.25,On Time,Complete
PAY000054,CUST00001,30,2025-12-12,2025-12-11,509.65,502.66,On Time,Partial
PAY000055,CUST00001,31,2026-01-12,2026-01-14,509.65,526.9,Late,Complete
PAY000056,CUST00001,32,2026-02-12,2026-02-15,509.65,527.42,Late,Complete
PAY000057,CUST00001,33,2026-03-12,2026-03-12,509.65,517.71,On Time,Complete
PAY000058,CUST00001,34,2026-04-12,2026-04-10,509.65,491.63,On Time,Partial
PAY000059,CUST00001,35,2026-05-12,2026-05-11,509.65,485.12,On Time,Partial
PAY000060,CUST00001,36,2026-06-12,2026-06-13,509.65,521.77,Late,Complete
PAY000061,CUST00002,1,2025-02-28,2025-02-26,558.67,557.28,On Time,Partial
PAY000062,CUST00002,2,2025-03-30,2025-03-31,558.67,563.13,Late,Complete
PAY000063,CUST00002,3,2025-04-30,2025-04-30,558.67,533.27,On Time,Partial
PAY000064,CUST00002,4,2025-05-30,2025-05-30,558.67,573.0,On Time,Complete
PAY000065,CUST00002,5,2025-06-30,2025-07-02,558.67,531.75,Late,Partial
PAY000066,CUST00002,6,2025-07-30,2025-08-03,558.67,551.38,Late,Partial
PAY000067,CUST00002,7,2025-08-30,2025-09-02,558.67,543.97,Late,Partial
PAY000068,CUST00002,8,2025-09-30,2025-09-30,558.67,583.85,On Time,Complete
PAY000069,CUST00002,9,2025-10-30,2025-10-29,558.67,532.58,On Time,Partial
PAY000070,CUST00002,10,2025-11-30,2025-11-29,558.67,582.82,On Time,Complete
PAY000071,CUST00002,11,2025-12-30,2026-01-01,558.67,586.03,Late,Complete
PAY000072,CUST00002,12,2026-01-30,2026-02-03,558.67,545.47,Late,Partial
PAY000073,CUST00002,13,2026-02-28,2026-02-26,558.67,566.77,On Time,Complete
PAY000074,CUST00002,14,2026-03-30,2026-04-02,558.67,570.4,Late,Complete
PAY000075,CUST00002,15,2026-04-30,2026-04-29,558.67,579.56,On Time,Complete
PAY000076,CUST00002,16,2026-05-30,2026-06-03,558.67,556.49,Late,Partial
PAY000077,CUST00002,17,2026-06-30,2026-07-02,558.67,556.54,Late,Partial
PAY000078,CUST00002,18,2026-07-30,2026-08-01,558.67,559.24,Late,Complete
PAY000079,CUST00002,19,2026-08-30,2026-08-29,558.67,556.0,On Time,Partial
PAY000080,CUST00002,20,2026-09-30,2026-09-29,558.67,540.46,On Time,Partial
PAY000081,CUST00002,21,2026-10-30,2026-10-31,558.67,578.63,Late,Complete
PAY000082,CUST00002,22,2026-11-30,2026-11-30,558.67,546.31,On Time,Partial
PAY000083,CUST00002,23,2026-12-30,2026-12-30,558.67,539.06,On Time,Partial
PAY000084,CUST00002,24,2027-01-30,2027-02-02,558.67,536.59,Late,Partial
PAY000085,CUST00002,25,2027-02-28,2027-02-27,558.67,538.76,On Time,Partial
PAY000086,CUST00002,26,2027-03-30,2027-03-28,558.67,535.12,On Time,Partial
PAY000087,CUST00002,27,2027-04-30,2027-05-01,558.67,531.4,Late,Partial
PAY000088,CUST00002,28,2027-05-30,2027-06-02,558.67,586.32,Late,Complete
PAY000089,CUST00002,29,2027-06-30,2027-07-02,558.67,546.49,Late,Partial
PAY000090,CUST00002,30,2027-07-30,2027-07-28,558.67,562.46,On Time,Complete
PAY000091,CUST00002,31,2027-08-30,2027-08-29,558.67,543.99,On Time,Partial
PAY000092,CUST00002,32,2027-09-30,2027-09-29,558.67,585.97,On Time,Complete
PAY000093,CUST00002,33,2027-10-30,2027-11-02,558.67,582.07,Late,Complete
PAY000094,CUST00002,34,2027-11-30,2027-12-01,558.67,533.14,Late,Partial
PAY000095,CUST00002,35,2027-12-30,2027-12-29,558.67,558.16,On Time,Partial
PAY000096,CUST00002,36,2028-01-30,2028-02-02,558.67,585.11,Late,Complete
PAY000097,CUST00002,37,2028-02-29,2028-02-27,558.67,540.67,On Time,Partial
PAY000098,CUST00002,38,2028-03-30,2028-03-28,558.67,537.84,On Time,Partial
PAY000099,CUST00002,39,2028-04-30,2028-05-01,558.67,579.8,Late,Complete
PAY000100,CUST00002,40,2028-05-30,2028-05-30,558.67,559.48,On Time,Complete
PAY000101,CUST00002,41,2028-06-30,2028-07-01,558.67,568.77,Late,Complete
PAY000102,CUST00002,42,2028-07-30,2028-07-29,558.67,570.47,On Time,Complete
PAY000103,CUST00002,43,2028-08-30,2028-09-03,558.67,566.95,Late,Complete
PAY000104,CUST00002,44,2028-09-30,2028-10-01,558.67,562.59,Late,Complete
PAY000105,CUST00002,45,2028-10-30,2028-10-31,558.67,563.69,Late,Complete
PAY000106,CUST00002,46,2028-11-30,2028-11-30,558.67,535.51,On Time,Partial
PAY000107,CUST00002,47,2028-12-30,2029-01-02,558.67,557.87,Late,Partial
PAY000108,CUST00002,48,2029-01-30,2029-01-30,558.67,559.06,On Time,Complete
PAY000109,CUST00002,49,2029-02-28,2029-02-28,558.67,544.86,On Time,Partial
PAY000110,CUST00002,50,2029-03-30,2029-03-29,558.67,537.38,On Time,Partial
PAY000111,CUST00002,51,2029-04-30,2029-04-29,558.67,584.08,On Time,Complete
PAY000112,CUST00002,52,2029-05-30,2029-05-31,558.67,539.49,Late,Partial
PAY000113,CUST00002,53,2029-06-30,2029-07-04,558.67,559.21,Late,Complete
PAY000114,CUST00002,54,2029-07-30,2029-07-31,558.67,537.62,Late,Partial
PAY000115,CUST00002,55,2029-08-30,2029-08-28,558.67,531.73,On Time,Partial
PAY000116,CUST00002,56,2029-09-30,2029-10-03,558.67,550.84,Late,Partial
PAY000117,CUST00002,57,2029-10-30,2029-10-31,558.67,562.46,Late,Complete
PAY000118,CUST00002,58,2029-11-30,2029-12-04,558.67,583.98,Late,Complete
PAY000119,CUST00002,59,2029-12-30,2029-12-28,558.67,566.59,On Time,Complete
PAY000120,CUST00002,60,2030-01-30,2030-02-03,558.67,539.24,Late,Partial
PAY000121,CUST00003,1,2023-09-14,2023-09-13,2570.12,2470.43,On Time,Partial
PAY000122,CUST00003,2,2023-10-14,2023-10-13,2570.12,2544.02,On Time,Partial
PAY000123,CUST00003,3,2023-11-14,2023-11-16,2570.12,2548.88,Late,Partial
PAY000124,CUST00003,4,2023-12-14,2023-12-14,2570.12,2630.71,On Time,Complete
PAY000125,CUST00003,5,2024-01-14,2024-01-17,2570.12,2596.43,Late,Complete
PAY000126,CUST00003,6,2024-02-14,2024-02-16,2570.12,2467.52,Late,Partial
PAY000127,CUST00003,7,2024-03-14,2024-03-18,2570.12,2695.94,Late,Complete
PAY000128,CUST00003,8,2024-04-14,2024-04-18,2570.12,2663.92,Late,Complete
PAY000129,CUST00003,9,2024-05-14,2024-05-17,2570.12,2562.49,Late,Partial
PAY000130,CUST00003,10,2024-06-14,2024-06-15,2570.12,2531.91,Late,Partial
PAY000131,CUST00003,11,2024-07-14,2024-07-14,2570.12,2640.5,On Time,Complete
PAY000132,CUST00003,12,2024-08-14,2024-08-18,2570.12,2504.04,Late,Partial
PAY000133,CUST00003,13,2024-09-14,2024-09-13,2570.12,2466.05,On Time,Partial
PAY000134,CUST00003,14,2024-10-14,2024-10-12,2570.12,2645.37,On Time,Complete
PAY000135,CUST00003,15,2024-11-14,2024-11-13,2570.12,2657.14,On Time,Complete
PAY000136,CUST00003,16,2024-12-14,2024-12-18,2570.12,2529.07,Late,Partial
PAY000137,CUST00003,17,2025-01-14,2025-01-16,2570.12,2484.15,Late,Partial
PAY000138,CUST00003,18,2025-02-14,2025-02-12,2570.12,2580.77,On Time,Complete
PAY000139,CUST00003,19,2025-03-14,2025-03-16,2570.12,2482.4,Late,Partial
PAY000140,CUST00003,20,2025-04-14,2025-04-16,2570.12,2595.56,Late,Complete
PAY000141,CUST00003,21,2025-05-14,2025-05-14,2570.12,2635.81,On Time,Complete
PAY000142,CUST00003,22,2025-06-14,2025-06-12,2570.12,2610.75,On Time,Complete
PAY000143,CUST00003,23,2025-07-14,2025-07-18,2570.12,2572.46,Late,Complete
PAY000144,CUST00003,24,2025-08-14,2025-08-17,2570.12,2527.35,Late,Partial
PAY000145,CUST00005,1,2024-10-22,2024-10-23,5411.42,5363.21,Late,Partial
PAY000146,CUST00005,2,2024-11-22,2024-11-23,5411.42,5517.91,Late,Complete
PAY000147,CUST00005,3,2024-12-22,2024-12-25,5411.42,5598.17,Late,Complete
PAY000148,CUST00005,4,2025-01-22,2025-01-20,5411.42,5629.71,On Time,Complete
PAY000149,CUST00005,5,2025-02-22,2025-02-25,5411.42,5674.83,Late,Complete
PAY000150,CUST00005,6,2025-03-22,2025-03-23,5411.42,5532.75,Late,Complete
PAY000151,CUST00005,7,2025-04-22,2025-04-23,5411.42,5340.94,Late,Partial
PAY000152,CUST00005,8,2025-05-22,2025-05-23,5411.42,5677.79,Late,Complete
PAY000153,CUST00005,9,2025-06-22,2025-06-24,5411.42,5451.85,Late,Complete
PAY000154,CUST00005,10,2025-07-22,2025-07-25,5411.42,5303.76,Late,Partial
PAY000155,CUST00005,11,2025-08-22,2025-08-24,5411.42,5319.58,Late,Partial
PAY000156,CUST00005,12,2025-09-22,2025-09-20,5411.42,5341.7,On Time,Partial
PAY000157,CUST00006,1,2024-12-16,2024-12-18,2216.19,2131.93,Late,Partial
PAY000158,CUST00006,2,2025-01-16,2025-01-17,2216.19,2247.38,Late,Complete
PAY000159,CUST00006,3,2025-02-16,2025-02-18,2216.19,2289.4,Late,Complete
PAY000160,CUST00006,4,2025-03-16,2025-03-17,2216.19,2237.31,Late,Complete
PAY000161,CUST00006,5,2025-04-16,2025-04-17,2216.19,2278.26,Late,Complete
PAY000162,CUST00006,6,2025-05-16,2025-05-19,2216.19,2316.26,Late,Complete
PAY000163,CUST00006,7,2025-06-16,2025-06-20,2216.19,2194.25,Late,Partial
PAY000164,CUST00006,8,2025-07-16,2025-07-16,2216.19,2162.68,On Time,Partial
